;;;Temps;Profondeur (m);Surconsommation (%);Pression béton (bar);Vitesse d'avancement (m/h);Couple de rotation (bar);Vitesse de rotation (rev/min)
;;;00:02:05;4,06;449,6;1,1;209;125,6;12,0
;;;00:02:05;4,08;449,6;1,1;292;125,6;12,0
;;;00:02:06;4,11;449,6;1,1;235;124,5;12,0
;;;00:02:06;4,13;449,6;1,1;243;123,4;12,0
;;;00:02:07;4,15;449,6;1,1;235;123,4;12,0
;;;00:02:07;4,17;449,6;1,1;229;121,2;12,0
;;;00:02:07;4,20;449,6;1,1;259;121,2;12,0
;;;00:02:08;4,22;449,6;1,1;227;119,8;12,0
;;;00:02:08;4,24;449,6;1,1;229;119,1;12,0
;;;00:02:09;4,27;449,6;1,1;284;118,4;12,0
;;;00:02:09;4,29;449,6;1,1;260;114,8;12,0
;;;00:02:09;4,31;449,6;1,1;215;114,8;12,0
;;;00:02:10;4,34;449,6;1,1;316;109,7;12,0
;;;00:02:10;4,36;449,6;1,1;225;107,2;12,0
;;;00:02:11;4,39;449,6;1,1;227;106,8;11,6
;;;00:02:11;4,41;449,6;1,1;218;106,1;11,0
;;;00:02:12;4,43;449,6;1,1;204;106,1;11,0
;;;00:02:12;4,46;449,6;1,1;152;102,3;11,8
;;;00:02:12;4,48;449,6;1,1;353;101,8;12,0
;;;00:02:13;4,50;449,6;1,1;271;101,2;12,0
;;;00:02:13;4,52;449,6;1,1;268;99,6;12,0
;;;00:02:14;4,54;449,6;1,1;188;99,6;12,0
;;;00:02:14;4,56;449,6;1,1;243;99,6;12,0
;;;00:02:14;4,58;449,6;1,1;203;99,6;12,0
;;;00:02:15;4,61;449,6;1,1;225;97,5;12,0
;;;00:02:15;4,63;449,6;1,1;202;95,3;12,0
;;;00:02:16;4,65;449,6;1,1;243;93,9;12,0
;;;00:02:16;4,67;449,6;1,1;227;91,0;12,0
;;;00:02:17;4,69;449,6;1,1;202;91,0;12,0
;;;00:02:17;4,72;449,6;1,1;195;90,1;12,0
;;;00:02:18;4,74;449,6;1,1;176;89,9;12,0
;;;00:02:18;4,76;449,6;1,1;268;90,8;12,0
;;;00:02:18;4,78;449,6;1,1;219;91,0;12,0
;;;00:02:19;4,81;449,6;1,1;236;91,0;12,0
;;;00:02:19;4,83;449,6;1,1;312;91,0;12,0
;;;00:02:20;4,86;449,6;1,1;207;90,5;12,0
;;;00:02:20;4,88;449,6;1,1;166;89,9;12,0
;;;00:02:21;4,90;449,6;1,1;156;88,6;11,9
;;;00:02:22;4,92;449,6;1,1;151;87,8;11,9
;;;00:02:22;4,94;449,6;1,1;109;87,8;12,0
;;;00:02:23;4,96;449,6;1,1;115;90,9;12,0
;;;00:02:24;4,98;449,6;1,1;85;92,6;12,0
;;;00:02:25;5,00;449,6;1,1;85;94,2;12,0
;;;00:02:26;5,02;449,6;1,1;122;95,3;12,0
;;;00:02:27;5,04;449,6;1,1;77;95,6;12,0
;;;00:02:28;5,07;449,6;1,1;84;96,4;12,0
;;;00:02:29;5,09;449,6;1,1;82;96,4;12,0
;;;00:02:30;5,11;449,6;1,1;85;96,9;12,0
;;;00:02:31;5,13;449,6;1,1;106;98,8;12,0
;;;00:02:32;5,15;449,6;1,1;93;99,9;12,0
;;;00:02:33;5,17;449,6;1,1;112;102,9;12,0
;;;00:02:33;5,19;449,6;1,1;104;103,8;12,0
;;;00:02:34;5,21;449,6;1,1;115;143,8;15,8
;;;00:02:35;5,23;449,6;1,1;128;165,4;18,3
;;;00:02:35;5,26;449,6;1,1;164;160,1;20,0
;;;00:02:36;5,28;449,6;1,1;110;161,8;20,0
;;;00:02:37;5,30;449,6;1,1;116;162,3;20,0
;;;00:02:37;5,32;449,6;1,1;133;162,3;20,0
;;;00:02:38;5,34;449,6;1,1;130;159,4;20,0
;;;00:02:39;5,36;449,6;1,1;133;156,0;20,0
;;;00:02:40;5,38;449,6;1,1;115;152,6;20,0
;;;00:02:40;5,40;449,6;1,1;124;190,9;24,5
;;;00:02:41;5,43;449,6;1,1;136;196,0;25,0
;;;00:02:42;5,45;449,6;1,1;159;197,9;24,9
;;;00:02:42;5,47;449,6;1,1;141;201,2;25,0
;;;00:02:43;5,49;449,6;1,1;146;199,5;25,2
;;;00:02:43;5,52;449,6;1,1;166;195,8;25,9
;;;00:02:44;5,54;449,6;1,1;130;195,2;25,9
;;;00:02:46;5,58;449,6;1,1;64;192,0;25,8
;;;00:02:46;5,61;449,6;1,1;280;189,5;25,3
;;;00:02:47;5,63;449,6;1,1;164;189,3;25,2
;;;00:02:47;5,67;449,6;1,1;241;193,6;25,0
;;;00:02:48;5,70;449,6;1,1;345;193,5;25,1
;;;00:02:49;5,74;449,6;1,1;213;192,5;25,6
;;;00:02:49;5,77;449,6;1,1;452;198,7;25,1
;;;00:02:50;5,79;449,6;1,1;189;201,2;25,0
;;;00:02:50;5,82;449,6;1,1;227;198,3;25,6
;;;00:02:51;5,84;449,6;1,1;207;196,8;26,0
;;;00:02:51;5,86;449,6;1,1;162;199,3;25,4
;;;00:02:51;5,89;449,6;1,1;203;201,2;25,0
;;;00:02:52;5,91;449,6;1,1;213;201,0;25,1
;;;00:02:52;5,93;449,6;1,1;152;200,1;26,0
;;;00:02:53;5,95;449,6;1,1;253;200,5;25,8
;;;00:02:53;5,99;449,6;1,1;227;202,2;25,0
;;;00:02:54;6,02;449,6;1,1;259;203,3;25,0
