;;;Temps;Profondeur (m);Surconsommation (%);Pression béton (bar);Vitesse d'avancement (m/h);Couple de rotation (bar);Vitesse de rotation (rev/min)
;;;00:01:01;4,37;100,4;1,0;321;114,5;19,9
;;;00:01:01;4,39;100,4;1,0;331;114,5;19,9
;;;00:01:01;4,42;100,4;1,0;321;115,3;19,9
;;;00:01:02;4,44;100,4;1,0;409;115,6;19,9
;;;00:01:02;4,47;100,4;1,0;714;115,6;19,9
;;;00:01:02;4,49;100,4;1,0;247;115,6;19,9
;;;00:01:03;4,52;100,4;1,0;276;115,6;20,0
;;;00:01:03;4,54;100,4;1,0;295;115,6;20,0
;;;00:01:03;4,56;100,4;1,0;292;115,6;20,0
;;;00:01:04;4,58;100,4;1,0;292;112,3;19,9
;;;00:01:04;4,61;100,4;1,0;311;112,3;19,9
;;;00:01:04;4,63;100,4;1,0;352;112,3;19,9
;;;00:01:04;4,65;100,4;1,0;311;113,0;19,9
;;;00:01:05;4,67;100,4;1,0;272;113,4;19,9
;;;00:01:05;4,70;100,4;1,0;302;113,4;19,9
;;;00:01:05;4,72;100,4;1,0;375;113,4;20,0
;;;00:01:06;4,74;100,4;1,0;310;113,4;20,0
;;;00:01:06;4,77;100,4;1,0;348;113,4;20,0
;;;00:01:06;4,79;100,4;1,0;311;113,2;20,0
;;;00:01:07;4,81;100,4;1,0;341;112,3;20,0
;;;00:01:07;4,83;100,4;1,0;271;112,3;20,0
;;;00:01:07;4,85;100,4;1,0;329;112,3;20,0
;;;00:01:08;4,88;100,4;1,0;282;111,2;21,0
;;;00:01:08;4,90;100,4;1,0;311;111,2;21,0
;;;00:01:08;4,92;100,4;1,0;370;111,2;21,0
;;;00:01:08;4,95;100,4;1,0;640;111,2;20,9
;;;00:01:09;4,97;100,4;1,0;292;111,2;20,9
;;;00:01:09;4,99;100,4;1,0;229;111,2;20,9
;;;00:01:09;5,01;100,4;1,0;584;110,5;20,2
;;;00:01:10;5,04;100,4;1,0;321;110,2;19,9
;;;00:01:10;5,06;100,4;1,0;341;110,2;19,9
;;;00:01:10;5,08;100,4;1,0;272;110,2;19,9
;;;00:01:11;5,10;100,4;1,0;311;110,2;20,0
;;;00:01:11;5,12;100,4;1,0;321;110,2;20,0
;;;00:01:11;5,15;100,4;1,0;341;110,2;20,0
;;;00:01:11;5,17;100,4;1,0;292;109,3;20,0
;;;00:01:12;5,19;100,4;1,0;370;109,1;20,0
;;;00:01:12;5,21;100,4;1,0;272;109,1;20,0
;;;00:01:12;5,23;100,4;1,0;272;109,1;20,0
;;;00:01:13;5,25;100,4;1,0;341;109,1;20,0
;;;00:01:13;5,28;100,4;1,0;302;109,1;20,0
;;;00:01:13;5,30;100,4;1,0;311;109,1;20,0
;;;00:01:14;5,32;100,4;1,0;321;109,1;20,0
;;;00:01:14;5,34;100,4;1,0;341;109,1;20,0
;;;00:01:14;5,36;100,4;1,0;272;109,1;20,0
